Action,Action
Add Enquiry,Add Enquiry
Add Field,Add Field
Add New Field,Add New Field
Add New Post,Add New Post
Are you sure?,Are you sure?
Change status,Change status
CheckBox,CheckBox
Columns,Columns
Delete,Delete
Delete Field,Delete Field
Delete Post,Delete Post
Disabled,Disabled
Edit,Edit
Edit Field,Edit Field
Enabled,Enabled
Enquiry,Enquiry
Enquiry Action,Enquiry Action
Enquiry Fields,Enquiry Fields
Enquiry Fields Manage,Enquiry Fields Manager
Enquiry Fields Manager,Enquiry Fields Manager
Enquiry form not completed corectly,Enquiry form not completed corectly
Enquiry Manager,Enquiry Manager
Enquiry post does not exist,Enquiry post does not exist
Enquiry Posts,Enquiry Posts
Enquiry Posts Manager,Enquiry Posts Manager
Enquiry successfully send,Enquiry successfully send
Enquiry was successfully saved,Enquiry was successfully saved
Field does not exist,Field does not exist
Field information,Field information
Field Name,Field Name
Field was successfully deleted,Field was successfully deleted
Fields,Fields
ID,ID
Insert enquiry details here..,Insert enquiry details here..
Item Manage,Item Manager
Item Manager,Item Manager
Items Manager,Items Manager
Manage Enquiry Fields,Manage Enquiry Fields
Manage Enquiry Posts,Manage Enquiry Posts
Max Lenght,Max Lenght
Order,Order
Please select item(s),Please select item(s)
Post ID,Post ID
Post Information,Post Information
Posts,Posts
Radio,Radio
Read,Read
Rows,Rows
Save And Continue Edi,Save And Continue Edi
Save Field,Save Field
Save Post,Save Post
Select,Select
Sender E-mail,Sender E-mail
Sender Name,Sender Name
Size,Size
Status,Status
Text,Text
TextArea,TextArea
Title,Title
Total of %d record(s) were successfully deleted,Total of %d record(s) were successfully deleted
Total of %d record(s) were successfully updated,Total of %d record(s) were successfully updated
Type,Type
Unable to find enquiry to save,Unable to find enquiry to save
Unable to find Field to save,Unable to find Field to save
Unread,Unread
View,View
View Enquiry,View Enquiry
Required,Required
Optional,Optional
